,Year,Annual CO2 emissions
23418,1750,9350528
23419,1751,9350528
23420,1752,9354192
23421,1753,9354192
23422,1754,9357856
23423,1755,9361520
23424,1756,10006384
23425,1757,10010048
23426,1758,10013712
23427,1759,10017376
23428,1760,10017376
23429,1761,10973680
23430,1762,10977344
23431,1763,10981008
23432,1764,10984672
23433,1765,10988336
23434,1766,12259744
23435,1767,12263408
23436,1768,12267072
23437,1769,12270736
23438,1770,12274400
23439,1771,13611760
23440,1772,13615424
23441,1773,13619088
23442,1774,13622752
23443,1775,13626416
23444,1776,15037056
23445,1777,15040720
23446,1778,15044384
23447,1779,15048048
23448,1780,15055376
23449,1781,16843408
23450,1782,16847072
23451,1783,16854400
23452,1784,16858064
23453,1785,16869056
23454,1786,19151728
23455,1787,19159056
23456,1788,19162720
23457,1789,19170048
23458,1790,19177376
23459,1791,21419744
23460,1792,21896064
23461,1793,21914384
23462,1794,21881408
23463,1795,21892400
23464,1796,22951296
23465,1797,24094464
23466,1798,25094736
23467,1799,26428432
23468,1800,28091888
23469,1801,27959984
23470,1802,36782896
23471,1803,31488416
23472,1804,34309696
23473,1805,33419344
23474,1806,35046160
23475,1807,36874496
23476,1808,35064480
23477,1809,35090128
23478,1810,37380128
23479,1811,39582192
23480,1812,41007488
23481,1813,41220000
23482,1814,42128672
23483,1815,43488016
23484,1816,47664976
23485,1817,49431024
23486,1818,49643536
23487,1819,49947648
23488,1820,50687776
23489,1821,51435232
23490,1822,53465088
23491,1823,56550176
23492,1824,58525072
23493,1825,60756448
23494,1826,61419632
23495,1827,65915360
23496,1828,66637168
23497,1829,66395344
23498,1830,89123136
23499,1831,84528480
23500,1832,85111056
23501,1833,86807488
23502,1834,88485600
23503,1835,90445840
23504,1836,104775744
23505,1837,104691472
23506,1838,108044032
23507,1839,111612768
23508,1840,118929776
23509,1841,122619424
23510,1842,129504080
23511,1843,132852976
23512,1844,141423072
23513,1845,155210704
23514,1846,157793824
23515,1847,172402192
23516,1848,173816496
23517,1849,183511440
23518,1850,196896032
23519,1851,198804976
23520,1852,207550944
23521,1853,217209248
23522,1854,255138976
23523,1855,260165984
23524,1856,277291520
23525,1857,279889296
23526,1858,284171850
23527,1859,301312559
23528,1860,330642191
23529,1861,347735242
23530,1862,354057462
23531,1863,377859938
23532,1864,407091108
23533,1865,432307789
23534,1866,445970599
23535,1867,477814912
23536,1868,490752496
23537,1869,521130720
23538,1870,532536752
23539,1871,566142960
23540,1872,626371792
23541,1873,665419040
23542,1874,622997248
23543,1875,675799152
23544,1876,685552720
23545,1877,699098528
23546,1878,704381729
23547,1879,754869509
23548,1880,853707188
23549,1881,882407475
23550,1882,931924710
23551,1883,991035684
23552,1884,1002177745
23553,1885,1009674571
23554,1886,1025478884
23555,1887,1076761678
23556,1888,1192276070
23557,1889,1191804432
23558,1890,1298463581
23559,1891,1358879690
23560,1892,1370094534
23561,1893,1353675035
23562,1894,1400864597
23563,1895,1485281339
23564,1896,1533711001
23565,1897,1606310640
23566,1898,1694277167
23567,1899,1850905966
23568,1900,1952224654
23569,1901,2016760928
23570,1902,2067797613
23571,1903,2256077250
23572,1904,2281857535
23573,1905,2429631367
23574,1906,2551869513
23575,1907,2885281242
23576,1908,2776431591
23577,1909,2887083061
23578,1910,3027588864
23579,1911,3082462274
23580,1912,3228332151
23581,1913,3492411249
23582,1914,3168341359
23583,1915,3125088543
23584,1916,3373154069
23585,1917,3527725678
23586,1918,3479185579
